Index,ID,Title
0,1812.09123,"Statistical models of neural activity, criticality, and Zipf's law"
1,1812.09077,Dreaming neural networks: rigorous results
2,1812.03389,Memristors for the Curious Outsiders
3,1811.02861,"Growing Critical: Self-Organized Criticality in a Developing Neural
  System"
4,1809.02942,Cellular automata as convolutional neural networks
5,1810.10938,On the Sample Complexity of PAC Learning Quantum Process
6,1808.07172,Fisher Information and Natural Gradient Learning of Random Deep Networks
7,1808.06846,"Search for Common Minima in Joint Optimization of Multiple Cost
  Functions"
8,1808.00408,"Geometry of energy landscapes and the optimizability of deep neural
  networks"
9,1807.103,Discovering physical concepts with neural networks
10,1807.0747,"Machine learning study of the relationship between the geometric and
  entropy discord"
11,1807.00042,"Neural Networks Trained to Solve Differential Equations Learn General
  Representations"
12,1806.01421,Quantum Integrated Information Theory
13,1712.08523,"Contemporary machine learning: a guide for practitioners in the physical
  sciences"
14,1710.09825,"On the role of synaptic stochasticity in training low-precision neural
  networks"
15,1710.06832,"The Origins of Computational Mechanics: A Brief Intellectual History and
  Several Clarifications"
